date,dns,count
1/1/2023,sol.org.tr,6
1/1/2023,son32.com,1
1/1/2023,sondakika.com,110
1/1/2023,sozcu.com.tr,62
1/1/2023,sporundibi.com,1
1/1/2023,sporx.com,11
1/1/2023,star.com.tr,9
1/1/2023,t24.com.tr,13
1/1/2023,takvim.com.tr,69
1/1/2023,tasova.net,2
1/1/2023,tele1.com.tr,4
1/1/2023,televizyongazetesi.com,21
1/1/2023,tgrthaber.com.tr,9
1/1/2023,torbaliguncel.com,1
1/1/2023,trthaber.com,5
1/1/2023,trtspor.com.tr,6
1/1/2023,tum-haberler.com,1
1/1/2023,turizmgunlugu.com,3
1/1/2023,turkiyegazetesi.com.tr,4
1/1/2023,turkiyeturizm.com,1
1/1/2023,turkrus.com,2
1/1/2023,turktime.com,3
1/1/2023,tv100.com,17
1/1/2023,twitter.com,2
1/1/2023,ulusal.com.tr,2
1/1/2023,urfadasin.com,3
1/1/2023,urfadegisim.com,3
1/1/2023,urfanatik.com,4
1/1/2023,urfastar.com,3
1/1/2023,vandahaber.com,9
1/1/2023,vanpostasigazetesi.com,7
1/1/2023,veryansintv.com,1
1/1/2023,vitrinhaber.com,9
1/1/2023,yasemin.com,7
1/1/2023,yeniakit.com.tr,13
1/1/2023,yeniasir.com.tr,1
1/1/2023,yeniasya.com.tr,1
1/1/2023,yenicaggazetesi.com.tr,38
1/1/2023,yenihaberden.com,1
1/1/2023,yenimeram.com.tr,2
1/1/2023,yenimesaj.com.tr,1
1/1/2023,yenisafak.com,16
1/1/2023,yerelingundemi.com,2
1/1/2023,yozgatcamlik.com,4
1/1/2023,yurtgazetesi.com.tr,2
1/2/2023,61medya.com,6
1/2/2023,aa.com.tr,24
1/2/2023,abcgazetesi.com,2
1/2/2023,afyonkenthaber.com,2
1/2/2023,ahaber.com.tr,66
1/2/2023,ahsapglobal.com,1
1/2/2023,ajansmanisa.com,10
1/2/2023,ajansspor.com,18
1/2/2023,akilligundem.com,6
1/2/2023,aksam.com.tr,47
1/2/2023,aktifhaber.com,2
1/2/2023,akyazi.net,1
1/2/2023,anadolugazetesi.com,1
1/2/2023,anamurekspres.com,2
1/2/2023,ankahaber.net,1
1/2/2023,aspor.com.tr,76
1/2/2023,avazturk.com,14
1/2/2023,aydinlik.com.tr,6
1/2/2023,ayyildizgazetesi.com,2
1/2/2023,basketdergisi.com,1
1/2/2023,basnews.com,1
1/2/2023,batmancagdas.com,1
1/2/2023,batmansonsoz.net,1
1/2/2023,bbc.com,1
1/2/2023,beyazgazete.com,18
1/2/2023,bianet.org,1
1/2/2023,bilecik11.com,1
1/2/2023,birgun.net,38
1/2/2023,bitcoinsistemi.com,1
1/2/2023,bjk.com.tr,2
1/2/2023,bloomberght.com,7
1/2/2023,boluekspres.com,2
1/2/2023,borsagundem.com,3
1/2/2023,borsamatik.com.tr,1
1/2/2023,bugunkocaeli.com.tr,3
1/2/2023,bursa.bel.tr,1
1/2/2023,bursa.com,2
1/2/2023,bursadabugun.com,18
1/2/2023,bursahakimiyet.com.tr,23
1/2/2023,bursaspordabugun.com,4
1/2/2023,buyukkocaeli.com.tr,1
1/2/2023,buyuksivas.com,1
1/2/2023,canlihaber.com,1
1/2/2023,cepkolik.com,1
1/2/2023,cnnturk.com,46
1/2/2023,coin-turk.com,1
1/2/2023,coinkolik.com,1
1/2/2023,cointelegraph.com,1
1/2/2023,colemerghaber.com,5
1/2/2023,cryptonews.com,1
1/2/2023,csgb.gov.tr,3
1/2/2023,cumhuriyet.com.tr,95
1/2/2023,dha.com.tr,8
1/2/2023,diken.com.tr,37
1/2/2023,dogruhaber.com.tr,1
1/2/2023,dogrulukpayi.com,1
1/2/2023,donanimhaber.com,12
1/2/2023,dunya.com,7
1/2/2023,dunyabulteni.net,1
1/2/2023,duzcedamla.com,3
1/2/2023,elbistaninsesi.com,1
1/2/2023,elbistanpusula.com,1
1/2/2023,ensonhaber.com,89
1/2/2023,eskisehir.net,2
1/2/2023,eurohoops.net,7
1/2/2023,euronews.com,1
1/2/2023,evrensel.net,5
1/2/2023,f5haber.com,9
1/2/2023,fanatik.com.tr,9
1/2/2023,fenerbahce.org,3
1/2/2023,fibhaber.com,3
1/2/2023,finans365.com,21
1/2/2023,fotomac.com.tr,10
1/2/2023,fotospor.com,1
1/2/2023,gazeteduvar.com.tr,45
1/2/2023,gazeteipekyol.com,2
1/2/2023,gazetekarinca.com,1
1/2/2023,gazeterize.com,2
1/2/2023,gazetevatan.com,11
1/2/2023,gaziantepinhabercisi.com,10
1/2/2023,gazianteppusula.com,2
1/2/2023,gercekgundem.com,2
1/2/2023,gozlemgazetesi.com,2
1/2/2023,guncelkesintiler.com,2
1/2/2023,gundemkibris.com,1
1/2/2023,gunebakis.com.tr,1
1/2/2023,gunes.com,1
1/2/2023,gunestv.com,1
1/2/2023,gunisigigazetesi.net,1
1/2/2023,haber3.com,2
1/2/2023,haber61.net,2
1/2/2023,haber7.com,82
