domain,YOD_Score
aa.com.tr,6.509700747878738
adanahaber.net,6.799776687816573
ahaber.com.tr,7.903829302282474
ajansspor.com,7.825358825194409
aksam.com.tr,6.678613462532332
aspor.com.tr,7.279881089791832
aydinlik.com.tr,6.210866751618381
bbc.com,3.258184207244608
bianet.org,6.602576134484348
birgun.net,7.790981403838769
bloomberght.com,6.253931616145381
bursamuhalif.com,7.231632432331874
cnnturk.com,6.152017548310087
cumhuriyet.com.tr,6.946097965897418
daktilo1984.com,6.548131759616553
dha.com.tr,8.263521571671067
diken.com.tr,7.424877770960824
dokuz8haber.net,8.918079151193869
dokuzeylul.com,6.2715520798215625
donanimhaber.com,8.059246391325077
dunya.com,6.714338066270829
dw.com,1.2746206458206841
edirnehaber.org,8.542089892225153
ekonomim.com,7.366335223328189
ensonhaber.com,7.361504498124877
fanatik.com.tr,6.9556616422101625
fotomac.com.tr,6.854654078039133
gazeteduvar.com.tr,7.595180425790859
gazeteoku.com,4.5282410763640115
gazetevatan.com,5.584222531870923
gaziantepinhabercisi.com,5.226954455717921
gercekgundem.com,8.183074142217146
haber7.com,6.819517857535809
haberglobal.com.tr,8.052386642390708
haberler.com,6.462922901699082
haberturk.com,8.652879094665591
halktv.com.tr,6.464329857499194
hurriyet.com.tr,6.397872036680899
iha.com.tr,7.77746653567246
ilerihaber.org,6.755137331955111
indyturk.com,9.589084954528763
internethaber.com,8.020815007591725
investing.com,8.134096275516583
karar.com,7.99250942335657
konhaber.com,8.085530767204638
korkusuz.com.tr,6.611745669038861
krttv.com.tr,7.460053902400426
magazinhaberleri.com,4.807895281302094
marketingturkiye.com.tr,6.905756567640414
medyakoridoru.com,7.18093428069852
medyaradar.com,7.317185251312098
medyascope.tv,11.201861767762363
medyatava.com,10.912205598100156
memleket.com.tr,8.008792359624774
memurlar.net,8.019550298246951
milligazete.com.tr,7.2062625875997615
milliyet.com.tr,7.339085801411125
mynet.com,7.747880536334896
ntv.com.tr,7.9949666216682775
ntvspor.net,6.9961161932180795
odatv4.com,5.651516864360576
olay53.com,7.7340361486950675
onedio.com,10.354703217451698
pazarlamasyon.com,6.732795241145603
posta.com.tr,7.122467450505324
pusulagazetesi.com.tr,5.287892056675577
sabah.com.tr,6.861181632931168
shiftdelete.net,6.800246940989044
sondakika.com,9.122615240951514
sozcu.com.tr,6.547631921147203
t24.com.tr,10.339401548936044
takvim.com.tr,7.8922579162726665
tele1.com.tr,7.903536432140521
tgrthaber.com.tr,8.162940670012873
tigrishaber.com,5.432521465477831
trthaber.com,7.874374798290311
turkiyegazetesi.com.tr,8.228022889061897
ulusal.com.tr,7.2970453686891625
usakhabermerkezi.com,8.491671626813487
veryansintv.com,6.774759430896833
webrazzi.com,10.089055694822001
webtekno.com,12.263224463252447
yeniakit.com.tr,6.9829788855690635
yenicaggazetesi.com.tr,7.426122869548621
yenisafak.com,6.517981360261377
yeniyasamgazetesi5.com,7.118157497665916
yesilgazete.org,9.644622933873485
yuksekovahaber.com.tr,7.726880680734511
